City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tiksi,71.6872,128.8694,271.55,83,100,4.09,RU,1685053255
1,zhigalovo,54.8097,105.1578,276.83,90,100,1.34,RU,1685053854
2,tofol,5.3248,163.0078,301.27,78,80,4.26,FM,1685053263
3,college,64.8569,-147.8028,295.42,32,75,4.63,US,1685053008
4,ribeira grande,38.5167,-28.7,290.25,82,41,4.92,PT,1685053854
5,albany,42.6001,-73.9662,291.93,43,41,0.45,US,1685053837
6,port-aux-francais,-49.35,70.2167,279.21,98,89,10.24,TF,1685053854
7,pisco,-13.7,-76.2167,296.18,68,100,3.09,PE,1685053263
8,enriquillo,17.9,-71.2333,303.97,69,4,2.7,DO,1685053270
9,rongelap,11.1635,166.8941,301.06,78,100,8.76,MH,1685053279
10,daru,-9.0763,143.2092,298.67,87,100,5.86,PG,1685053266
11,ilulissat,69.2167,-51.1,275.16,51,0,1.54,GL,1685053854
12,sitka,57.0531,-135.33,286.09,82,100,1.54,US,1685053255
13,new norfolk,-42.7826,147.0587,281.88,79,95,3.74,AU,1685053854
14,punta arenas,-53.15,-70.9167,276.21,81,75,7.2,CL,1685053260
15,puerto natales,-51.7236,-72.4875,273.48,91,98,2.45,CL,1685053771
16,hermanus,-34.4187,19.2345,282.48,80,36,4.44,ZA,1685053854
17,greenwood,34.1668,-82.1165,298.61,45,0,6.17,US,1685053854
18,novyy urgal,51.0736,132.5642,287.91,82,95,2.62,RU,1685053854
19,fale old settlement,-9.3852,-171.2468,301.61,74,18,4.62,TK,1685053854
20,waitangi,-43.9535,-176.5597,287.49,83,11,2.24,NZ,1685053854
21,edinburgh of the seven seas,-37.0676,-12.3116,289.58,82,45,10.55,SH,1685053854
22,vrangel',42.7297,133.0839,285.65,82,100,4.52,RU,1685053855
23,shalqar,47.8333,59.6,293.36,32,1,3.43,KZ,1685053855
24,starachowice,51.0374,21.0713,289.01,81,100,3.17,PL,1685053855
25,iqaluit,63.7506,-68.5145,275.0,74,75,4.63,CA,1685053855
26,invercargill,-46.4,168.35,286.19,79,100,4.3,NZ,1685053855
27,flying fish cove,-10.4217,105.6791,298.97,88,100,5.66,CX,1685053855
28,aasiaat,68.7098,-52.8699,272.97,79,2,2.31,GL,1685053202
29,wailua homesteads,22.0669,-159.378,300.39,71,75,6.69,US,1685053855
30,beloyarskiy,63.7119,66.6722,288.35,59,100,3.39,RU,1685053855
31,blackmans bay,-43.0167,147.3167,281.22,76,74,3.43,AU,1685053855
32,georgetown,5.4112,100.3354,300.12,86,20,1.03,MY,1685053855
33,polyarnyy,69.1989,33.4478,281.51,59,4,4.28,RU,1685053264
34,lihue,21.9789,-159.3672,300.73,71,75,6.69,US,1685053855
35,longyearbyen,78.2186,15.6401,273.06,86,100,10.29,SJ,1685053855
36,kwang binh,17.4833,106.6,299.45,76,42,1.22,VN,1685053855
